,t,a3_L2_error,b2_L2_error
0,0.0,0.08182773010415649,0.08182773010415649
1,0.01,0.0680447749234124,0.10739950475072442
2,0.02,0.053541581873781226,0.11286901387547685
3,0.03,0.03858687856518396,0.11697429926393546
4,0.04,0.02368383952336125,0.11965825069802728
5,0.05,0.011124037177289475,0.12089995327601111
6,0.06,0.013960578484426394,0.12071008761506868
7,0.07,0.027747334933921963,0.11912234940903065
8,0.08,0.04271438668247754,0.1161851015917134
9,0.09,0.05758203080176442,0.11195711999620198
10,0.1,0.0719814970533583,0.10650907036566352
11,0.11,0.08567264058050704,0.09992948370817241
12,0.12,0.09844389763648201,0.09233215865359962
13,0.13,0.11009992327957904,0.08386244949832868
14,0.14,0.12046853836584058,0.07470330790189031
15,0.15,0.12940944983454508,0.06508824580251721
16,0.16,0.13681759523235668,0.055338417172775864
17,0.17,0.14261938714826242,0.04595802931656488
18,0.18,0.1467643155493567,0.037842144892462584
19,0.19,0.1492167392841368,0.03255790335647734
20,0.2,0.14995251395593692,0.03199987549378744
21,0.21,0.1489625788507459,0.03657384657115876
22,0.22,0.14626209329592416,0.04467106462550275
23,0.23,0.14190101043149853,0.05449082419410775
24,0.24,0.13597149762878755,0.0648654852794139
25,0.25,0.12860964174096343,0.07510086916898992
26,0.26,0.11999256459484588,0.08476836288920914
27,0.27,0.11033596261405854,0.0935968548419112
28,0.28,0.09989988198063679,0.10141776701520848
29,0.29,0.08901183692438958,0.1081305068434645
30,0.3,0.07811671443532503,0.11367705209398217
31,0.31,0.06786099753192328,0.11802427002902054
32,0.32,0.05919876910978583,0.12115488121243218
33,0.33,0.05341084958173257,0.12306641934784787
34,0.34,0.051737109087450384,0.12377503195887295
35,0.35,0.054546185790224626,0.12331969059243442
36,0.36,0.060992385082308045,0.12176331130315705
37,0.37,0.06971754448127328,0.11919001569004165
38,0.38,0.07956627859619059,0.11570086943399777
39,0.39,0.08975549095231256,0.11141225655691399
40,0.4,0.09978369581580059,0.10646051460950401
41,0.41,0.10931831050087848,0.10101365404925444
42,0.42,0.11811990291384215,0.09528709403723683
43,0.43,0.12600226398508382,0.0895568868117829
44,0.44,0.13281721317306527,0.08416182118013155
45,0.45,0.13845279468425992,0.0794854212502973
46,0.46,0.14283511644695362,0.07591140504356661
47,0.47,0.145927272723963,0.07375526990267454
48,0.48,0.14772322845089608,0.07319226809610536
49,0.49,0.14823886243620132,0.07421665308751846
50,0.5,0.1475048923743648,0.07665604126960691
51,0.51,0.1455660970503323,0.08022898142460565
52,0.52,0.14248837589734487,0.08461023116588991
53,0.53,0.13837131368891822,0.08947815913420072
54,0.54,0.13336113285162657,0.09454122119441496
55,0.55,0.1276586801101648,0.09955145927305208
56,0.56,0.1215194863089322,0.10431117587168598
57,0.57,0.11524662080140431,0.10867385821051215
58,0.58,0.10917980289907678,0.11253829767870031
59,0.59,0.1036837458924875,0.11583646730909025
60,0.6,0.09913397316686277,0.11851899576141028
61,0.61,0.09589166941163083,0.12054429766743127
62,0.62,0.09425777171704199,0.12187672185373576
63,0.63,0.09440904056672224,0.12249537660879777
64,0.64,0.09634195966500698,0.12241031546483272
65,0.65,0.09986024770173968,0.12167900010628613
66,0.66,0.1046190718940051,0.1204151799870706
67,0.67,0.11020288046870817,0.1187848306041989
68,0.68,0.11619998536822859,0.11698853219794028
69,0.69,0.12225053706572768,0.11523482513770249
70,0.7,0.1280644492975682,0.11371252201639126
71,0.71,0.13341787877315484,0.1125699051130378
72,0.72,0.13814038106994506,0.11190489268247404
73,0.73,0.14210322595748584,0.11176472771844187
74,0.74,0.14521490814293309,0.11215017149910132
75,0.75,0.14742437137125528,0.11301992559132192
76,0.76,0.14872782515240557,0.11429488708255033
77,0.77,0.1491730063386987,0.11586510524233021
78,0.78,0.1488559870705062,0.11760201592597903
79,0.79,0.1479093980028541,0.11937505620672043
80,0.8,0.14648534171971406,0.12106811584569267
81,0.81,0.14473904870591434,0.12259035260208878
82,0.82,0.14281882728358727,0.12387837203518458
83,0.83,0.14086407216784658,0.12489109150193767
84,0.84,0.13900804710382625,0.12560224411490123
85,0.85,0.13737899514667778,0.12599637665919564
86,0.86,0.13609418882695282,0.12607182244588905
87,0.87,0.13524659216661647,0.1258497786264042
88,0.88,0.1348898124766441,0.12538469300652033
89,0.89,0.13502973328461296,0.12476978181899989
90,0.9,0.1356282245642527,0.12413332604265388
91,0.91,0.13661734174066098,0.12362542279404413
92,0.92,0.13791640356911905,0.1233989971599107
93,0.93,0.13944353840348234,0.12359090101603791
94,0.94,0.14111795761858723,0.12430771579243172
95,0.95,0.1428558148216659,0.12561734637886318
96,0.96,0.14456660444849226,0.12754431697791332
97,0.97,0.14615624942694658,0.13006634300118647
98,0.98,0.14753822640202668,0.1331123100854311
99,0.99,0.14864858670711495,0.13656463206334796
